,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"MYLAN NV ORD SHS",JAN,MYL,MYL,"Timber Hill LLC","NASDAQ","N",MYL,
"MYR GROUP INC",JAN,MYRG,MYRG,"Susquehanna Securities","NASDAQ","N",MYRG,
"MYRIAD GENETICS, INC",FEB,MYGN,MYGN,"Citadel Securities LLC","NASDAQ","N",MYGN,
"N J RESOURCES CP",FEB,NJR,NJR,"Susquehanna Securities","NYSE","N",NJR,
"N Y TIMES CL A",JAN,NYT,NYT,"Citadel Securities LLC","NYSE","N",NYT,
"NABORS INDS LTD NEW",MAR,NBR,NBR,"Citigroup Derivatives Markets Inc.","NYSE","N",NBR,
"NAM TAI PROPERTY",MAR,NTP,NTP,"Wolverine Trading, LLC","NYSE","N",NTP,
"NANOMETRICS INC",MAR,NANO,NANO,"Citadel Securities LLC","NASDAQ","N",NANO,
"NANOSTRING TECH CMN",JAN,NSTG,NSTG,"Susquehanna Securities","NASDAQ","N",NSTG,
"NANOVIRICIDES INC",MAR,NNVC,NNVC,"Susquehanna Securities","NYSE MKT","N",NNVC,
"NASDAQ 100 INDEX NEW CALC",,NDX,NDX,"Citadel Securities LLC","NASDAQ","N",NDX,
"NASDAQ, INC. CMN STK",MAR,NDAQ,NDAQ,"Citadel Securities LLC","NASDAQ","N",NDAQ,
"NATIONAL CINEMEDIA",MAR,NCMI,NCMI,"Susquehanna Securities","NASDAQ","N",NCMI,
"NATIONAL GRID PLC",MAR,NGG,NGG,"Susquehanna Securities","NYSE","N",NGG,
"NATIONAL RETAIL PROP",MAR,NNN,NNN,"Citadel Securities LLC","NYSE","N",NNN,
"NATIONSTAR MORTGAGE",JAN,NSM,NSM,"Susquehanna Securities","NYSE","N",NSM,
"NATL BEVERAGE CP",JAN,FIZZ,FIZZ,"Susquehanna Securities","NASDAQ","N",FIZZ,
"NATL FUEL GAS CO",JAN,NFG,NFG,"Citadel Securities LLC","NYSE","N",NFG,
"NATL HEALTH INVESTOR",JAN,NHI,NHI,"Wolverine Trading, LLC","NYSE","N",NHI,
"NATL INSTRUMENTS COR",MAR,NATI,NATI,"Susquehanna Securities","NASDAQ","N",NATI,
"NATL OILWELL VARCO",FEB,NOV,NOV,"Citadel Securities LLC","NYSE","N",NOV,
"NATL PENN BNCSH INC",JAN,NPBC,NPBC,"Susquehanna Securities","NASDAQ","N",NPBC,
"NATURAL GAS SVCS GRP",JAN,NGS,NGS,"Susquehanna Securities","NYSE","N",NGS,
"NATURAL GROCERS",MAR,NGVC,NGVC,"Wolverine Trading, LLC","NYSE","N",NGVC,
"NATURAL HLTH TRD CM",JAN,NHTC,NHTC,"Morgan Stanley & Co. LLC","NASDAQ","N",NHTC,
"NATURAL RES PTNRS LP",JAN,NRP,NRP,"Susquehanna Securities","NYSE","N",NRP,
"NATUS MEDICAL INC",JAN,BABY,BABY,"Susquehanna Securities","NASDAQ","N",BABY,
"NAUTILUS INC",JAN,NLS,NLS,"Wolverine Trading, LLC","NYSE","N",NLS,
"NAVIDEA BIOPHAR INC",JAN,NAVB,NAVB,"Susquehanna Securities","NYSE MKT","N",NAVB,
"NAVIENT CP CMN",JAN,NAVI,NAVI,"Citadel Securities LLC","NASDAQ","N",NAVI,
"NAVIGANT CONSULT INC",JAN,NCI,NCI,"Group One Trading, L.P.","NYSE","N",NCI,
"NAVIGATOR HOLDINGS",MAR,NVGS,NVGS,"Wolverine Trading, LLC","NYSE","N",NVGS,
"NAVIGATORS GRP INC",JAN,NAVG,NAVG,"Susquehanna Securities","NASDAQ","Y",NAVG,
"NAVIOS MARITIME",MAR,NM,NM,"Citadel Securities LLC","NYSE","N",NM,
"NAVIOS MARITIME PTN",MAR,NMM,NMM,"Citadel Securities LLC","NYSE","N",NMM,
"NAVISTAR INTL CP",JAN,NAV,NAV,"Citadel Securities LLC","NYSE","N",NAV,
"NBT BANCORP INC.",FEB,NBTB,NBTB,"Wolverine Trading, LLC","NASDAQ","N",NBTB,
"NCI BLDG SYS NEW",MAR,NCS,NCS,"Susquehanna Securities","NYSE","N",NCS,
"NCR CP",JAN,NCR,NCR,"Group One Trading, L.P.","NYSE","N",NCR,
"NEENAH PAPER INC",JAN,NP,NP,"Susquehanna Securities","NYSE","N",NP,
"NEFF CORPORATION",JAN,NEFF,NEFF,"Citadel Securities LLC","NYSE","N",NEFF,
"NEKTAR THERAPEUTICS",FEB,NKTR,NKTR,"Citadel Securities LLC","NASDAQ","N",NKTR,
"NELNET INC",MAR,NNI,NNI,"Susquehanna Securities","NYSE","N",NNI,
"NEOGEN CP",JAN,NEOG,NEOG,"Wolverine Trading, LLC","NASDAQ","N",NEOG,
"NEOGENOMICS INC",FEB,NEO,NEO,"Susquehanna Securities","NASDAQ","N",NEO,
"NEONODE INC.",JAN,NEON,NEON,"Susquehanna Securities","NASDAQ","N",NEON,
"NEOPHOTONIC CORP",FEB,NPTN,NPTN,"Susquehanna Securities","NYSE","N",NPTN,
"NEPTUNE TECH",FEB,NEPT,NEPT,"Susquehanna Securities","NASDAQ","N",NEPT,
"NET 1 UEPS TECHS INC",JAN,UEPS,UEPS,"Wolverine Trading, LLC","NASDAQ","N",UEPS,
"NETAPP, INC.",MAR,NTAP,NTAP,"Timber Hill LLC","NASDAQ","N",NTAP,
"NETEASE INC ADS",MAR,NTES,NTES,"Citadel Securities LLC","NASDAQ","N",NTES,
"NETFLIX, INC.",MAR,NFLX,NFLX,"Citadel Securities LLC","NASDAQ","N",NFLX,
"NETGEAR INC",MAR,NTGR,NTGR,"Citadel Securities LLC","NASDAQ","N",NTGR,
"NETLIST INC",FEB,NLST,NLST,"Susquehanna Securities","NASDAQ","N",NLST,
"NETSCOUT SYSTEMS I",MAR,NTCT,NTCT,"Barclays Capital Inc.","NASDAQ","N",NTCT,
"NETSOL TECH INC",JAN,NTWK,NTWK,"Susquehanna Securities","NASDAQ","N",NTWK,
"NETSUITE INC",JAN,N,N,"Timber Hill LLC","NYSE","N",N,
"NEURALSTEM INC",FEB,CUR,CUR,"Group One Trading, L.P.","NASDAQ","N",CUR,
"NEUROCRINE BIOSCIENC",FEB,NBIX,NBIX,"Citadel Securities LLC","NASDAQ","N",NBIX,
"NEUSTAR, INC. CL A",JAN,NSR,NSR,"Wolverine Trading, LLC","NYSE","N",NSR,
"NEVSUN RESOURCES LTD",MAR,NSU,NSU,"Wolverine Trading, LLC","NYSE MKT","N",NSU,
"NEW GOLD INC",FEB,NGD,NGD,"Group One Trading, L.P.","NYSE ARCA","N",NGD,
"NEW MEDIA INVT GP",JAN,NEWM,NEWM,"Citadel Securities LLC","NYSE","N",NEWM,
"NEW MTN FINANCE CP",JAN,NMFC,NMFC,"Susquehanna Securities","NYSE","N",NMFC,
"NEW ORIENTAL EDUCATI",JAN,EDU,EDU,"Citadel Securities LLC","NYSE","N",EDU,
"NEW RESIDENTIAL INVT",FEB,NRZ,NRZ,"Citadel Securities LLC","NYSE","N",NRZ,
"NEW SENIOR INVT GP",FEB,SNR,SNR,"Citadel Securities LLC","NYSE","N",SNR,
"NEW YORK & CO INC.",JAN,NWY,NWY,"Susquehanna Securities","NYSE","N",NWY,
"NEW YORK CMMTY BNC",JAN,NYCB,NYCB,"Citadel Securities LLC","NYSE","N",NYCB,
"NEW YORK MTGE TRUST",JAN,NYMT,NYMT,"Susquehanna Securities","NASDAQ","N",NYMT,
"NEW YORK REIT, INC.",JAN,NYRT,NYRT,"Citadel Securities LLC","NYSE","N",NYRT,
"NEWCASTLE INV CP",FEB,NCT,NCT,"Citadel Securities LLC","NYSE","N",NCT,
"NEWELL RUBBERMAID",MAR,NWL,NWL,"Timber Hill LLC","NYSE","N",NWL,
"NEWFIELD EXP COM",MAR,NFX,NFX,"Citadel Securities LLC","NYSE","N",NFX,
"NEWLINK GENETICS COR",JAN,NLNK,NLNK,"Susquehanna Securities","NASDAQ","N",NLNK,
"NEWMARKET CORP",MAR,NEU,NEU,"Susquehanna Securities","NYSE","N",NEU,
"NEWMONT MINING CORP",MAR,NEM,NEM,"Susquehanna Securities","NYSE","N",NEM,
"NEWPARK RESOURCES",MAR,NR,NR,"Susquehanna Securities","NYSE","N",NR,
"NEWPORT CP",FEB,NEWP,NEWP,"Susquehanna Securities","NASDAQ","N",NEWP,
"NEWS CP CL A CMN ST",JAN,NWSA,NWSA,"Citadel Securities LLC","NASDAQ","N",NWSA,
"NEWS CP CL B CMN ST",JAN,NWS,NWS,"Citadel Securities LLC","NASDAQ","N",NWS,
"NEXSTAR BROADCASTING",FEB,NXST,NXST,"Citadel Securities LLC","NASDAQ","N",NXST,
"NEXTERA ENERGY PRTNR",JAN,NEP,NEP,"Citadel Securities LLC","NYSE","N",NEP,
"NEXTERA ENERGY, INC.",MAR,NEE,NEE,"Citadel Securities LLC","NYSE","N",NEE,
"NGL ENERGY PARTNERS",JAN,NGL,NGL,"Susquehanna Securities","NYSE","N",NGL,
"NIC INC.",JAN,EGOV,EGOV,"Susquehanna Securities","NASDAQ","N",EGOV,
"NICE-SYSTEMS LTD",FEB,NICE,NICE,"Citadel Securities LLC","NASDAQ","N",NICE,
"NIELSEN NV ORD SHS",FEB,NLSN,NLSN,"Susquehanna Securities","NYSE","N",NLSN,
"NII HOLDINGS CMN",MAR,NIHD,NIHD,"Susquehanna Securities","NASDAQ","N",NIHD,
"NIKE INC CL B",JAN,NKE,NKE,"Citadel Securities LLC","NYSE","N",NKE,
"NIMBLE STORAGE, INC.",FEB,NMBL,NMBL,"Morgan Stanley & Co. LLC","NYSE","N",NMBL,
"NIPPON TELEPHONE ADR",MAR,NTT,NTT,"Susquehanna Securities","NYSE","N",NTT,
"NISKA GAS STORAGE",JAN,NKA,NKA,"Wolverine Trading, LLC","NYSE","N",NKA,
"NISOURCE INC HLDG CO",JAN,NI,NI,"Citadel Securities LLC","NYSE","N",NI,
"NISOURCE INC HLDG CO(ADJ)",,NI1,NI1,"Citadel Securities LLC","NYSE","N",NI,"CPGX"
"NN INC",MAR,NNBR,NNBR,"Susquehanna Securities","NASDAQ","N",NNBR,
"NOAH HOLDINGS LTD",MAR,NOAH,NOAH,"Susquehanna Securities","NYSE","N",NOAH,
"NOBLE CORPORATION",MAR,NE,NE,"Citadel Securities LLC","NYSE","N",NE,
"NOBLE ENERGY INC",FEB,NBL,NBL,"Citadel Securities LLC","NYSE","N",NBL,
"NOKIA CP ADS",JAN,NOK,NOK,"Citadel Securities LLC","NYSE","N",NOK,
"NOMURA HOLDINGS  ADR",JAN,NMR,NMR,"Susquehanna Securities","NYSE","N",NMR,
"NOODLES & CO CLA CMN",FEB,NDLS,NDLS,"Citadel Securities LLC","NASDAQ","N",NDLS,
"NORD ANGLIA EDUC, IN",JAN,NORD,NORD,"Wolverine Trading, LLC","NYSE","N",NORD,
"NORDIC AMRN TANKERS",JAN,NAT,NAT,"Citadel Securities LLC","NYSE","N",NAT,
"NORDSON CORPORATION",MAR,NDSN,NDSN,"Citadel Securities LLC","NASDAQ","N",NDSN,
"NORDSTROM INC",JAN,JWN,JWN,"Timber Hill LLC","NYSE","N",JWN,
"NORFOLK SOUTHERN CP",MAR,NSC,NSC,"Citadel Securities LLC","NYSE","N",NSC,
"NORTH AMERICAN ENERG",FEB,NOA,NOA,"Citadel Securities LLC","NYSE","N",NOA,
"NORTH ATLANTIC DRILL",JAN,NADL,NADL,"Susquehanna Securities","NYSE","N",NADL,
"NORTH EUROPEAN OIL",MAR,NRT,NRT,"Wolverine Trading, LLC","NYSE","N",NRT,
"NORTHERN DYNASTY MNL",FEB,NAK,NAK,"Susquehanna Securities","NYSE MKT","N",NAK,
"NORTHERN OIL AND GAS",MAR,NOG,NOG,"Susquehanna Securities","NYSE MKT","N",NOG,
"NORTHERN TIER ENERGY",MAR,NTI,NTI,"Susquehanna Securities","NYSE","N",NTI,
"NORTHERN TRUST CORP",JAN,NTRS,NTRS,"Citadel Securities LLC","NASDAQ","N",NTRS,
"NORTHFIELD BNCRP DEL",MAR,NFBK,NFBK,"Susquehanna Securities","NASDAQ","N",NFBK,
"NORTHROP GRUM HOL CO",FEB,NOC,NOC,"Citigroup Derivatives Markets Inc.","NYSE","N",NOC,
"NORTHSTAR ASSET",MAR,NSAM,NSAM,"Susquehanna Securities","NYSE","N",NSAM,
"NORTHSTAR REALTY",MAR,NRF,NRF,"Susquehanna Securities","NYSE","N",NRF,
"NORTHSTAR REALTY(ADJ)",,NRF2,NRF2,"Susquehanna Securities","NYSE","N",NRF,"NRE"
"NORTHWEST BANCSHARES",FEB,NWBI,NWBI,"Susquehanna Securities","NASDAQ","N",NWBI,
"NORTHWEST BIOTH CMN",JAN,NWBO,NWBO,"Susquehanna Securities","NASDAQ","N",NWBO,
"NORTHWEST NAT GAS",MAR,NWN,NWN,"Wolverine Trading, LLC","NYSE","N",NWN,
"NORTHWEST PIPE CO",MAR,NWPX,NWPX,"Citadel Securities LLC","NASDAQ","N",NWPX,
"NORTHWESTERN CORPORA",MAR,NWE,NWE,"Wolverine Trading, LLC","NYSE","N",NWE,
"NORWEGIAN CRUISE ORD",MAR,NCLH,NCLH,"Morgan Stanley & Co. LLC","NASDAQ","N",NCLH,
"NOVA MEASURING INSTR",FEB,NVMI,NVMI,"Susquehanna Securities","NASDAQ","N",NVMI,
"NOVACOPPER INC",MAR,NCQ,NCQ,"Citadel Securities LLC","NYSE MKT","N",NCQ,
"NOVADAQ TECHNOLOGIES",JAN,NVDQ,NVDQ,"Susquehanna Securities","NASDAQ","N",NVDQ,
"NOVAGOLD RESOURCES I",MAR,NG,NG,"Citadel Securities LLC","NYSE MKT","N",NG,
"NOVARTIS AG ADS",JAN,NVS,NVS,"Timber Hill LLC","NYSE","N",NVS,
"NOVATEL WIRELESS CMN",MAR,MIFI,MIFI,"Citadel Securities LLC","NASDAQ","N",MIFI,
"NOVAVAX, INC.",JAN,NVAX,NVAX,"Susquehanna Securities","NASDAQ","N",NVAX,
"NOVO NORDISK A S",MAR,NVO,NVO,"Susquehanna Securities","NYSE","N",NVO,
"NOVOCURE LTD ORD SH",MAR,NVCR,NVCR,"Wolverine Trading, LLC","NASDAQ","N",NVCR,
"NOW INC.",FEB,DNOW,DNOW,"Citadel Securities LLC","NYSE","N",DNOW,
"NQ MOBILE INC.",MAR,NQ,NQ,"Susquehanna Securities","NYSE","N",NQ,
"NRG ENERGY INC",MAR,NRG,NRG,"Citadel Securities LLC","NYSE","N",NRG,
"NRG YIELD INCCOM CL A",MAR,NYLDA,NYLDA,"Citadel Securities LLC","NYSE","N",NYLDA,
"NTELOS HOLDINGS",MAR,NTLS,NTLS,"Susquehanna Securities","NASDAQ","N",NTLS,
"NTT DOCOMO, INC ADS",JAN,DCM,DCM,"Susquehanna Securities","NYSE","N",DCM,
"NU SKIN ENT INC",MAR,NUS,NUS,"Citadel Securities LLC","NYSE","N",NUS,
"NUANCE COMMUNICATNS",JAN,NUAN,NUAN,"Citigroup Derivatives Markets Inc.","NASDAQ","N",NUAN,
"NUCOR CP",JAN,NUE,NUE,"Timber Hill LLC","NYSE","N",NUE,
"NUMEREX CP CL A (P",MAR,NMRX,NMRX,"Wolverine Trading, LLC","NASDAQ","N",NMRX,
"NUSTAR ENERGY L.P.",MAR,NS,NS,"Citadel Securities LLC","NYSE","N",NS,
"NUSTAR GP HGS UTS",MAR,NSH,NSH,"Morgan Stanley & Co. LLC","NYSE","N",NSH,
"NUTRISYSTEM INC",MAR,NTRI,NTRI,"Citadel Securities LLC","NASDAQ","N",NTRI,
"NUVASIVE, INC.",MAR,NUVA,NUVA,"Susquehanna Securities","NASDAQ","N",NUVA,
"NVIDIA CORPORATION",MAR,NVDA,NVDA,"Citadel Securities LLC","NASDAQ","N",NVDA,
"NXP SEMICONDUCTORS",JAN,NXPI,NXPI,"Citadel Securities LLC","NASDAQ","N",NXPI,
"NXSTAGE MEDICAL, INC",MAR,NXTM,NXTM,"Citadel Securities LLC","NASDAQ","N",NXTM,
"NYMOX PHARM CORP",FEB,NYMX,NYMX,"Group One Trading, L.P.","NASDAQ","N",NYMX,
"O S I SYSTEMS INC",JAN,OSIS,OSIS,"Citadel Securities LLC","NASDAQ","N",OSIS,
"O'REILLY AUTOMOTIVE",FEB,ORLY,ORLY,"Citadel Securities LLC","NASDAQ","N",ORLY,
"OAKTREE CAPITAL",JAN,OAK,OAK,"Susquehanna Securities","NYSE","N",OAK,
"OASIS PETROLEUM INC.",FEB,OAS,OAS,"Susquehanna Securities","NYSE","N",OAS,
"OCCIDENTAL PET",FEB,OXY,OXY,"Timber Hill LLC","NYSE","N",OXY,
"OCCIDENTAL PET(ADJ)",,OXY1,OXY1,"Timber Hill LLC","NYSE","N",OXY,"CRC"
"OCCIDENTAL PET(ADJ)",,OXY2,OXY2,"Timber Hill LLC","NYSE","N",OXY,"CRC"
"OCEAN POWER TECH INC",,OPTT,OPTT,"Group One Trading, L.P.","NASDAQ","Y",OPTT,
"OCEAN RIG UDW INC",MAR,ORIG,ORIG,"Susquehanna Securities","NASDAQ","N",ORIG,
"OCEANEERING INTL INC",JAN,OII,OII,"Citadel Securities LLC","NYSE","N",OII,
"OCH-ZIFF CAP MGMT",MAR,OZM,OZM,"Citadel Securities LLC","NYSE","N",OZM,
"OCI PARTNERS LP",MAR,OCIP,OCIP,"Citadel Securities LLC","NYSE","N",OCIP,
"OCLARO, INC",JAN,OCLR,OCLR,"Susquehanna Securities","NASDAQ","N",OCLR,
"OCULAR THERAPEUT CMN",MAR,OCUL,OCUL,"Susquehanna Securities","NASDAQ","N",OCUL,
"OCWEN FINL CORP",JAN,OCN,OCN,"Morgan Stanley & Co. LLC","NYSE","N",OCN,
"OFFICE DEPOT CMN",JAN,ODP,ODP,"Citigroup Derivatives Markets Inc.","NASDAQ","N",ODP,
"OFG BANCORP",FEB,OFG,OFG,"Wolverine Trading, LLC","NYSE","N",OFG,
"OGE ENERGY CP",MAR,OGE,OGE,"Susquehanna Securities","NYSE","N",OGE,
"OHA INVESTMNT CP CMN",JAN,OHAI,OHAI,"Wolverine Trading, LLC","NASDAQ","N",OHAI,
"OHR PHARMCEUTIAL CM",JAN,OHRP,OHRP,"Susquehanna Securities","NASDAQ","N",OHRP,
"OIL STATES INTL INC",MAR,OIS,OIS,"Citadel Securities LLC","NYSE","N",OIS,
"OLD DOMINION FREIG",JAN,ODFL,ODFL,"Susquehanna Securities","NASDAQ","N",ODFL,
"OLD NATIONAL BNCP CM",MAR,ONB,ONB,"Wolverine Trading, LLC","NASDAQ","N",ONB,
"OLD REPUBLIC INTL CP",JAN,ORI,ORI,"Citadel Securities LLC","NYSE","N",ORI,
"OLIN CP",FEB,OLN,OLN,"Citadel Securities LLC","NYSE","N",OLN,
"OLYMPIC STEEL INC",JAN,ZEUS,ZEUS,"Citadel Securities LLC","NASDAQ","N",ZEUS,
"OMEGA HEALTHCARE INV",MAR,OHI,OHI,"Susquehanna Securities","NYSE","N",OHI,
"OMEGA PROTEIN CP",FEB,OME,OME,"Wolverine Trading, LLC","NYSE","N",OME,
"OMEROS CORPORATION",FEB,OMER,OMER,"Susquehanna Securities","NASDAQ","N",OMER,
"OMNICELL INC",FEB,OMCL,OMCL,"Citadel Securities LLC","NASDAQ","N",OMCL,
"OMNICOM GP INC",JAN,OMC,OMC,"Wolverine Trading, LLC","NYSE","N",OMC,
"OMNOVA SOLUTIONS INC",FEB,OMN,OMN,"Susquehanna Securities","NYSE","N",OMN,
"ON ASSIGNMENT INC",MAR,ASGN,ASGN,"Susquehanna Securities","NYSE","N",ASGN,
"ON SEMICONDUCTOR",JAN,ON,ON,"Citadel Securities LLC","NASDAQ","N",ON,
"ONCOGENEX PHARMA",JAN,OGXI,OGXI,"Susquehanna Securities","NASDAQ","N",OGXI,
"ONCOMED PHARMA",MAR,OMED,OMED,"Group One Trading, L.P.","NASDAQ","N",OMED,
"ONCONOVA THERAPEUTIC",JAN,ONTX,ONTX,"Susquehanna Securities","NASDAQ","N",ONTX,
"ONCOTHYREON INC",FEB,ONTY,ONTY,"Group One Trading, L.P.","NASDAQ","N",ONTY,
"ONE GAS, INC.",JAN,OGS,OGS,"Citadel Securities LLC","NYSE","N",OGS,
"ONE LIBERTY PROP",FEB,OLP,OLP,"Wolverine Trading, LLC","NYSE","N",OLP,
"ONEBEACON INS GRP",FEB,OB,OB,"Susquehanna Securities","NYSE","N",OB,
"ONEMAIN HOLDINGS INC",FEB,OMF,OMF,"Citadel Securities LLC","NYSE","N",OMF,
"ONEOK INC        NEW",JAN,OKE,OKE,"Citadel Securities LLC","NYSE","N",OKE,
"ONEOK PARTNERS LTD",JAN,OKS,OKS,"Timber Hill LLC","NYSE","N",OKS,
"OPEN TEXT CP",FEB,OTEX,OTEX,"Citadel Securities LLC","NASDAQ","N",OTEX,
"OPHTHOTECH CORP CMN",MAR,OPHT,OPHT,"Morgan Stanley & Co. LLC","NASDAQ","N",OPHT,
"OPKO HEALTH INC.",MAR,OPK,OPK,"Group One Trading, L.P.","NYSE","N",OPK,
"OPOWER, INC.",FEB,OPWR,OPWR,"Wolverine Trading, LLC","NYSE","N",OPWR,
"OPPENHEIMER LG CP",,RWL,RWL,"Susquehanna Securities","NYSE ARCA","N",RWL,
"OPUS BANK CMN STK",JAN,OPB,OPB,"Citadel Securities LLC","NASDAQ","N",OPB,
"ORACLE CORPORATION",MAR,ORCL,ORCL,"Timber Hill LLC","NYSE","N",ORCL,
"ORAMED PHARMA CMN",FEB,ORMP,ORMP,"Citadel Securities LLC","NASDAQ","N",ORMP,
"ORASURE TECH INC",JAN,OSUR,OSUR,"Group One Trading, L.P.","NASDAQ","N",OSUR,
"ORBCOMM INC.",MAR,ORBC,ORBC,"Susquehanna Securities","NASDAQ","N",ORBC,
"ORBITAL ATK, INC.",FEB,OA,OA,"Citadel Securities LLC","NYSE","N",OA,
"ORBOTECH LTD.",FEB,ORBK,ORBK,"Susquehanna Securities","NASDAQ","N",ORBK,
"OREXIGEN THERAPEUTIC",JAN,OREX,OREX,"Citadel Securities LLC","NASDAQ","N",OREX,
"ORGANOVO HOLDINGS",FEB,ONVO,ONVO,"Susquehanna Securities","NYSE MKT","N",ONVO,
"ORIENT PAPER, INC.",FEB,ONP,ONP,"Citadel Securities LLC","NYSE MKT","N",ONP,
"ORIGIN AGRITECH LIMI",FEB,SEED,SEED,"Susquehanna Securities","NASDAQ","N",SEED,
"ORION ENERGY SYST CM",FEB,OESX,OESX,"Wolverine Trading, LLC","NASDAQ","N",OESX,
"ORION MARINE",MAR,ORN,ORN,"Citadel Securities LLC","NYSE","N",ORN,
"ORITANI FINANCIAL",JAN,ORIT,ORIT,"Wolverine Trading, LLC","NASDAQ","N",ORIT,
"ORMAT TECHNOLOGIES",MAR,ORA,ORA,"Wolverine Trading, LLC","NYSE","N",ORA,
"ORTHOFIX INTL NV",FEB,OFIX,OFIX,"Susquehanna Securities","NASDAQ","N",OFIX,
"OSHKOSH CP",JAN,OSK,OSK,"Susquehanna Securities","NYSE","N",OSK,
"OSIRIS THERAPEUTICS",FEB,OSIR,OSIR,"Group One Trading, L.P.","NASDAQ","N",OSIR,
"OTTER TAIL CORP",JAN,OTTR,OTTR,"Citadel Securities LLC","NASDAQ","N",OTTR,
"OUTERWALL INC.",JAN,OUTR,OUTR,"Citadel Securities LLC","NASDAQ","N",OUTR,
"OUTFRONT MEDIA INC.",MAR,OUT,OUT,"Wolverine Trading, LLC","NYSE","N",OUT,
"OVASCIENCE CMN STK",MAR,OVAS,OVAS,"Susquehanna Securities","NASDAQ","N",OVAS,
"OVERSTOCK.COM, INC.",MAR,OSTK,OSTK,"Citadel Securities LLC","NASDAQ","N",OSTK,
"OWENS AND MINOR INC",MAR,OMI,OMI,"Susquehanna Securities","NYSE","N",OMI,
"OWENS CORNING",FEB,OC,OC,"Citadel Securities LLC","NYSE","N",OC,
"OWENS ILLINOIS",FEB,OI,OI,"Citigroup Derivatives Markets Inc.","NYSE","N",OI,
"OXFORD INDS",JAN,OXM,OXM,"Susquehanna Securities","NYSE","N",OXM,
"OXIGENE INC",JAN,OXGN,OXGN,"Susquehanna Securities","NASDAQ","N",OXGN,
"P N C FIN SVCS GR",FEB,PNC,PNC,"Citadel Securities LLC","NYSE","N",PNC,
"P P G IND",FEB,PPG,PPG,"Barclays Capital Inc.","NYSE","N",PPG,
"PACCAR INC.",FEB,PCAR,PCAR,"Citigroup Derivatives Markets Inc.","NASDAQ","N",PCAR,
"PACIFIC BIOSCIENCES",MAR,PACB,PACB,"Susquehanna Securities","NASDAQ","N",PACB,
"PACIFIC COAST OIL TR",MAR,ROYT,ROYT,"Citadel Securities LLC","NYSE","N",ROYT,
"PACIFIC CONTINENTAL",MAR,PCBK,PCBK,"Citadel Securities LLC","NASDAQ","N",PCBK,
"PACIFIC DRILLING SA",JAN,PACD,PACD,"Wolverine Trading, LLC","NYSE","N",PACD,
"PACIFIC ETHANOL INC",JAN,PEIX,PEIX,"Group One Trading, L.P.","NASDAQ","N",PEIX,
"PACIFIC PREMIER BNCP",MAR,PPBI,PPBI,"Wolverine Trading, LLC","NASDAQ","N",PPBI,
"PACIFIC SUNWEAR",MAR,PSUN,PSUN,"Wolverine Trading, LLC","NASDAQ","N",PSUN,
"PACIRA PHARM INC",FEB,PCRX,PCRX,"Citadel Securities LLC","NASDAQ","N",PCRX,
"PACKAGING CP AMER",JAN,PKG,PKG,"Citadel Securities LLC","NYSE","N",PKG,
"PACWEST BANCORP",MAR,PACW,PACW,"Citadel Securities LLC","NASDAQ","N",PACW,
"PAIN THERAPEUTICS",JAN,PTIE,PTIE,"Citadel Securities LLC","NASDAQ","N",PTIE,
"PALO ALTO NETWORKS",MAR,PANW,PANW,"Susquehanna Securities","NYSE","N",PANW,
"PAN AMER SILVER CORP",JAN,PAAS,PAAS,"Citadel Securities LLC","NASDAQ","N",PAAS,
"PANDORA MEDIA, INC.",MAR,P,P,"Susquehanna Securities","NYSE","N",P,
"PANERA BREAD A",FEB,PNRA,PNRA,"Morgan Stanley & Co. LLC","NASDAQ","N",PNRA,
"PANHANDLE OIL & GAS",FEB,PHX,PHX,"Wolverine Trading, LLC","NYSE","N",PHX,
"PAPA JOHN'S INTL",JAN,PZZA,PZZA,"Citadel Securities LLC","NASDAQ","N",PZZA,
"PAPA MURPHYS HLD COM",FEB,FRSH,FRSH,"Wolverine Trading, LLC","NASDAQ","N",FRSH,
"PARAMOUNT GROUP, INC",JAN,PGRE,PGRE,"Citadel Securities LLC","NYSE","N",PGRE,
"PARANAESE DE EN COPL",JAN,ELP,ELP,"Wolverine Trading, LLC","NYSE","N",ELP,
"PAREXEL INTL CP",MAR,PRXL,PRXL,"Susquehanna Securities","NASDAQ","N",PRXL,
"PARK CITY GROUP CMN",MAR,PCYG,PCYG,"Susquehanna Securities","NASDAQ","N",PCYG,
"PARK ELECTROCHEMICAL",FEB,PKE,PKE,"Susquehanna Securities","NYSE","N",PKE,
"PARK OHIO HLDG CP",MAR,PKOH,PKOH,"Susquehanna Securities","NASDAQ","N",PKOH,
"PARK STERLING CORPOR",MAR,PSTB,PSTB,"Wolverine Trading, LLC","NASDAQ","N",PSTB,
"PARKER DRILLING CO",JAN,PKD,PKD,"Citadel Securities LLC","NYSE","N",PKD,
"PARKER HANNIFIN CP",FEB,PH,PH,"Citadel Securities LLC","NYSE","N",PH,
"PARKERVISION INC",JAN,PRKR,PRKR,"Susquehanna Securities","NASDAQ","N",PRKR,
"PARKWAY PROP INC.",MAR,PKY,PKY,"Wolverine Trading, LLC","NYSE","N",PKY,
"PARSLEY ENERGY CL A",MAR,PE,PE,"Group One Trading, L.P.","NYSE","N",PE,
